what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1304978199860
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1304978199860
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1304978199861
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1304978199862
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1304978199862
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1304978199863
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1304978199863
started,bundle,org.eclipse.egit.core,0.11.1,"org.eclipse.egit.core",1304978199863
started,bundle,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui",1304978199864
started,bundle,org.eclipse.jgit,0.11.1,"org.eclipse.jgit",1304978199865
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1304978199866
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1304978199867
os,sysinfo,,,"win32",1304978199870
arch,sysinfo,,,"x86",1304978199870
ws,sysinfo,,,"win32",1304978199870
locale,sysinfo,,,"nl_NL",1304978199870
processors,sysinfo,,,"4",1304978199870
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1304978199870
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1304978199870
java.specification.name,sysinfo,,,"Java Platform API Specification",1304978199870
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304978199870
java.specification.version,sysinfo,,,"1.6",1304978199870
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1304978199870
java.version,sysinfo,,,"1.6.0_24",1304978199870
java.vm.info,sysinfo,,,"mixed mode, sharing",1304978199870
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1304978199870
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1304978199870
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304978199870
java.vm.specification.version,sysinfo,,,"1.0",1304978199870
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1304978199870
java.vm.version,sysinfo,,,"19.1-b02",1304978199870
